gender,nationality,place_of_birth,raisedhands,visited_resources,announcements_view,discussion,student_absence_days,Grade
M,KW,KuwaIT,15,16,2,20,Under-7,M
M,KW,KuwaIT,20,20,3,25,Under-7,M
M,KW,KuwaIT,10,7,0,30,Above-7,L
M,KW,KuwaIT,30,25,5,35,Above-7,L
M,KW,KuwaIT,40,50,12,50,Above-7,M
F,KW,KuwaIT,42,30,13,70,Above-7,M
M,KW,KuwaIT,35,12,0,17,Above-7,L
M,KW,KuwaIT,50,10,15,22,Under-7,M
F,KW,KuwaIT,12,21,16,50,Under-7,M
F,KW,KuwaIT,70,80,25,70,Under-7,M
M,KW,KuwaIT,50,88,30,80,Under-7,H
M,KW,KuwaIT,19,6,19,12,Under-7,M
M,KW,KuwaIT,5,1,0,11,Above-7,L
M,lebanon,lebanon,20,14,12,19,Above-7,L
F,KW,KuwaIT,62,70,44,60,Above-7,H
F,KW,KuwaIT,30,40,22,66,Under-7,M
M,KW,KuwaIT,36,30,20,80,Above-7,M
M,KW,KuwaIT,55,13,35,90,Above-7,M
F,KW,KuwaIT,69,15,36,96,Under-7,M
M,KW,KuwaIT,70,50,40,99,Under-7,H
F,KW,KuwaIT,60,60,33,90,Above-7,M
F,KW,KuwaIT,10,12,4,80,Under-7,M
M,KW,KuwaIT,15,21,2,90,Under-7,M
M,KW,KuwaIT,2,0,2,50,Above-7,L
M,KW,KuwaIT,0,2,3,70,Above-7,L
M,KW,KuwaIT,8,7,30,40,Above-7,L
M,KW,KuwaIT,19,19,25,40,Under-7,M
M,KW,KuwaIT,25,15,12,33,Above-7,L
M,KW,KuwaIT,75,85,52,43,Under-7,M
F,KW,KuwaIT,30,90,33,35,Under-7,M
F,KW,KuwaIT,35,80,50,70,Under-7,H
M,KW,KuwaIT,4,5,40,16,Above-7,L
F,KW,KuwaIT,2,19,10,50,Above-7,L
M,KW,KuwaIT,8,22,9,40,Above-7,L
M,KW,KuwaIT,12,11,8,40,Above-7,L
M,KW,KuwaIT,10,12,17,30,Above-7,L
M,KW,KuwaIT,8,6,4,22,Above-7,L
F,Egypt,Egypt,45,54,26,90,Under-7,M
M,KW,KuwaIT,0,0,0,4,Above-7,L
F,SaudiArabia,SaudiArabia,50,90,37,70,Under-7,M
F,KW,KuwaIT,14,13,3,70,Above-7,L
M,KW,KuwaIT,19,20,16,50,Under-7,M
M,KW,KuwaIT,10,12,7,33,Above-7,L
F,KW,KuwaIT,30,35,28,90,Under-7,M
F,KW,KuwaIT,33,33,30,90,Under-7,M
M,KW,KuwaIT,20,12,15,70,Above-7,L
M,KW,KuwaIT,7,10,1,30,Above-7,L
F,KW,KuwaIT,70,4,39,90,Under-7,H
F,KW,KuwaIT,13,80,40,88,Under-7,H
F,KW,KuwaIT,29,39,50,77,Under-7,M
F,KW,KuwaIT,20,14,12,70,Above-7,L
M,KW,KuwaIT,39,15,16,50,Above-7,L
F,KW,KuwaIT,55,90,16,40,Under-7,M
F,KW,KuwaIT,49,70,19,75,Under-7,H
M,KW,KuwaIT,12,50,8,30,Above-7,L
M,KW,KuwaIT,16,14,6,20,Above-7,L
M,USA,USA,19,5,4,1,Above-7,L
M,KW,KuwaIT,5,2,6,5,Above-7,L
M,KW,KuwaIT,28,60,19,50,Under-7,M
F,USA,USA,27,22,22,40,Under-7,M
F,Jordan,Jordan,21,10,28,20,Above-7,L
M,KW,KuwaIT,50,70,32,40,Under-7,M
M,venzuela,venzuela,80,90,70,80,Under-7,H
M,KW,KuwaIT,17,13,16,12,Under-7,M
M,KW,KuwaIT,0,5,7,2,Above-7,L
M,KW,KuwaIT,13,5,18,19,Above-7,L
F,KW,KuwaIT,25,10,19,30,Above-7,M
